,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_C,param_solver
90,2,666,0.0013960838317871095,0.0004885971129893826,0.000797891616821289,0.00039894584759375934,,,42,"{'C': 100000.0, 'random_state': 42}",0.7625538020086082,0.8507890961262553,0.7956719273075085,0.811219512195122,0.840731707317073,0.8121932089909135,0.031755503302400165,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,PassiveAggressiveClassifier,100000.0,
91,0,24,0.0009973526000976562,2.78041453115716e-07,0.0,0.0,0.0001,,42,"{'alpha': 0.0001, 'random_state': 42, 'solver': 'svd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,svd
92,0,24,0.000797891616821289,0.000398945904587374,0.0,0.0,0.0001,,42,"{'alpha': 0.0001, 'random_state': 42, 'solver': 'cholesky'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,cholesky
93,0,24,0.000797891616821289,0.00039894581909694896,0.0,0.0,0.0001,,42,"{'alpha': 0.0001, 'random_state': 42, 'solver': 'lsqr'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,lsqr
94,0,24,0.0027925968170166016,0.00039887429708787493,0.000598287582397461,0.0004884997731965918,0.0001,,42,"{'alpha': 0.0001, 'random_state': 42, 'solver': 'sparse_cg'}",0.75,1.0,0.8333333333333334,0.33333333333333337,1.0,0.7833333333333334,0.2449489742783178,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RidgeClassifier,,sparse_cg
95,0,24,0.0019945144653320313,1.1680077279964343e-07,0.0007978439331054688,0.0003989219950512487,0.0001,,42,"{'alpha': 0.0001, 'random_state': 42, 'solver': 'sag'}",0.75,1.0,0.8333333333333334,0.33333333333333337,1.0,0.7833333333333334,0.2449489742783178,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RidgeClassifier,,sag
96,0,24,0.000997304916381836,1.5078914929239175e-07,0.0,0.0,0.0001,,42,"{'alpha': 0.0001, 'random_state': 42, 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,saga
97,0,24,0.0007979393005371094,0.00039896966451610907,0.0,0.0,0.001,,42,"{'alpha': 0.001, 'random_state': 42, 'solver': 'svd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,svd
98,0,24,0.000997018814086914,0.0006302987594788563,0.0,0.0,0.001,,42,"{'alpha': 0.001, 'random_state': 42, 'solver': 'cholesky'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,cholesky
99,0,24,0.0007977485656738281,0.00039887435409171316,0.0,0.0,0.001,,42,"{'alpha': 0.001, 'random_state': 42, 'solver': 'lsqr'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,lsqr
100,0,24,0.002794837951660156,0.0007437768693286224,0.0007952213287353516,0.0003976402958179581,0.001,,42,"{'alpha': 0.001, 'random_state': 42, 'solver': 'sparse_cg'}",0.75,1.0,0.8333333333333334,0.33333333333333337,1.0,0.7833333333333334,0.2449489742783178,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RidgeClassifier,,sparse_cg
101,0,24,0.001994466781616211,1.1680077279964342e-07,0.0005984306335449219,0.000488616573967537,0.001,,42,"{'alpha': 0.001, 'random_state': 42, 'solver': 'sag'}",0.75,1.0,0.8333333333333334,0.33333333333333337,1.0,0.7833333333333334,0.2449489742783178,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RidgeClassifier,,sag
102,0,24,0.0005984783172607421,0.0004886555075578522,0.0,0.0,0.001,,42,"{'alpha': 0.001, 'random_state': 42, 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RidgeClassifier,,saga
